iter	Passed	Remaining
835	4090	802
836	4094	797
837	4099	792
838	4103	787
839	4108	782
840	4112	777
841	4117	772
842	4122	767
843	4126	762
844	4131	757
845	4136	752
846	4140	747
847	4144	742
848	4149	737
849	4153	733
850	4158	728
851	4162	723
852	4166	718
853	4171	713
854	4176	708
855	4180	703
856	4185	698
857	4189	693
858	4194	688
859	4198	683
860	4203	678
861	4207	673
862	4212	668
863	4217	663
864	4221	658
865	4226	653
866	4230	648
867	4235	644
868	4240	639
869	4244	634
870	4249	629
871	4253	624
872	4257	619
873	4262	614
874	4267	609
875	4271	604
876	4275	599
877	4280	594
878	4284	589
879	4289	584
880	4293	579
881	4298	575
882	4302	570
883	4307	565
884	4311	560
885	4316	555
886	4321	550
887	4325	545
888	4330	540
889	4335	535
890	4339	530
891	4344	525
892	4348	521
893	4353	516
894	4357	511
895	4362	506
896	4366	501
897	4371	496
898	4375	491
899	4380	486
900	4384	481
901	4389	476
902	4393	471
903	4398	467
904	4402	462
905	4407	457
906	4411	452
907	4416	447
908	4420	442
909	4425	437
910	4430	432
911	4434	427
912	4439	423
913	4443	418
914	4448	413
915	4452	408
916	4457	403
917	4462	398
918	4469	393
919	4474	389
920	4481	384
921	4486	379
922	4490	374
923	4496	369
924	4500	364
925	4505	360
926	4510	355
927	4514	350
928	4518	345
929	4523	340
930	4528	335
931	4532	330
932	4537	325
933	4543	321
934	4547	316
935	4552	311
936	4557	306
937	4561	301
938	4566	296
939	4570	291
940	4575	286
941	4580	282
942	4585	277
943	4589	272
944	4594	267
945	4598	262
946	4602	257
947	4607	252
948	4611	247
949	4616	242
950	4620	238
951	4625	233
952	4629	228
953	4633	223
954	4638	218
955	4642	213
956	4646	208
957	4651	203
958	4656	199
959	4660	194
960	4664	189
961	4669	184
962	4673	179
963	4678	174
964	4682	169
965	4687	164
966	4691	160
967	4695	155
968	4700	150
969	4704	145
970	4709	140
971	4713	135
972	4717	130
973	4722	126
974	4726	121
975	4730	116
976	4735	111
977	4739	106
978	4744	101
979	4748	96
980	4754	92
981	4758	87
982	4763	82
983	4767	77
984	4772	72
985	4776	67
986	4781	62
987	4785	58
988	4790	53
989	4795	48
990	4801	43
991	4806	38
992	4811	33
993	4816	29
994	4822	24
995	4827	19
996	4832	14
997	4837	9
998	4842	4
999	4846	0
